Title,Release Date,Genre,Number of Discs,Price Tier,Type,Summary,
21 & Over,1-Mar-13,Comedy,1,1,Movie,"The night before his big medical school interview, a promising student celebrates his 21st birthday with his two best friends.",a001
42,12-Apr-13,Biography/Drama/Sport,1,1,Movie,The life story of Jackie Robinson and his history-making signing with the Brooklyn Dodgers under the guidance of team executive Branch Rickey.,a002
Alex Cross,19-Oct-12,Action/Crime/Mystery,1,1,Movie,A homicide detective is pushed to the brink of his moral and physical limits as he tangles with a ferociously skilled serial killer who specializes in torture and pain.,a003
"American Horror Story: Season 1 ""Murder House""",5-Oct-11,Horror/Thriller/Drama,2,2,TV Series,"The Harmon family: Ben, Vivien and their daughter Violet, move from Boston to Los Angeles after Vivien has a stillbirth and Ben has an affair.They move into a restored mansion, unaware that the home is haunted by its former inhabitants.",a004
"American Horror Story: Season 2 ""Asylum""",17-Oct-12,Horror/Thriller/Drama,2,2,TV Series,"American Horror Story: Asylum begins in 1964 at the Briarcliff Mental Institution, following the stories of the patients, doctors and nuns who occupy it, and intercuts with events in the past and present.",a005
Anna Karenina,7-Sep-12,Drama,1,1,Movie,"Set in late-19th-century Russia high-society, the aristocrat Anna Karenina enters into a life-changing affair with the affluent Count Vronsky.",a006
Assault on Wall Street,10-May-13,Action/Drama/Thriller,1,1,Movie,"Jim is an average New Yorker living a peaceful life with a well paying job and a loving family. Suddenly, everything changes when the economy crashes causing Jim to lose everything. Filled with anger and rage, Jim snaps….",a007
Boardwalk Empire: Season 1,19-Sep-10,Drama/Action,2,2,TV Series,"Set in Atlantic City, New Jersey, during the Prohibition era, the series stars Steve Buscemi as Enoch ""Nucky"" Thompson a political figure who rose to prominence and controlled Atlantic City, New Jersey, during the 1920s and early 1930s.",a008
Boardwalk Empire: Season 2,25-Sep-11,Drama/Action,2,2,TV Series,"Set in Atlantic City, New Jersey, during the Prohibition era, the series stars Steve Buscemi as Enoch ""Nucky"" Thompson a political figure who rose to prominence and controlled Atlantic City, New Jersey, during the 1920s and early 1930s.",a009
Boardwalk Empire: Season 3,16-Sep-12,Drama/Action,2,2,TV Series,"Set in Atlantic City, New Jersey, during the Prohibition era, the series stars Steve Buscemi as Enoch ""Nucky"" Thompson a political figure who rose to prominence and controlled Atlantic City, New Jersey, during the 1920s and early 1930s.",a010
Brave,22-Jun-12,Animation/Action/Adventure/Family,1,1,Movie,"Determined to make her own path in life, Princess Merida defies a custom that brings chaos to her kingdom. Granted one wish, Merida must rely on her bravery and her archery skills to undo a beastly curse.",a011
Broken City,18-Jan-13,Crime/Drama/Thriller,1,1,Movie,"In a city rife with injustice, ex-cop Billy Taggart seeks redemption and revenge after being double-crossed and then framed by its most powerful figure: Mayor Nicholas Hostetler.",a012
Dark Skies,22-Feb-13,Horror/Sci-Fi/Thriller,1,1,Movie,"As the Barret family's peaceful suburban life is rocked by an escalating series of disturbing events, they come to learn that a terrifying and deadly force is after them.",a013
Dead Man Down,8-Mar-13,Action/Crime/Drama,1,1,Movie,"In New York City, a crime lord's right-hand man is seduced by a woman seeking retribution.",a014
Despicable Me 2,3-Jul-13,Animation/Adventure/Comdey,1,1,Movie,Gru is recruited by the Anti-Villain League to help deal with a powerful new super criminal.,a015
